file,method,direct_guard_candidates
"app/api/cron/kapacitet-fyllnad/route.ts","GET",""
"app/api/cron/karin-deadlines/route.ts","GET",""
"app/api/cron/karin-deadlines/route.ts","POST",""
"app/api/cron/kort-gar-ut/route.ts","GET",""
"app/api/cron/maintenance/route.ts","GET",""
"app/api/cron/meeting-reminders/route.ts","GET",""
"app/api/cron/meeting-worker/route.ts","GET",""
"app/api/cron/missed-revenue/route.ts","GET",""
"app/api/cron/monthly-review/route.ts","GET",""
"app/api/cron/monthly-review/route.ts","POST","getAuthenticatedBusiness"
"app/api/cron/morning-brief/route.ts","GET",""
"app/api/cron/next-best-action/route.ts","GET",""
"app/api/cron/nurture/route.ts","GET",""
"app/api/cron/onboarding-followup/route.ts","GET",""
"app/api/cron/onboarding-followup/route.ts","POST",""
"app/api/cron/patterns/route.ts","GET",""
"app/api/cron/patterns/test/route.ts","GET","getAuthenticatedBusiness"
"app/api/cron/phone-provision-retry/route.ts","GET",""
"app/api/cron/phone-provision-retry/route.ts","POST",""
"app/api/cron/playbook-kickoff/route.ts","GET",""
"app/api/cron/playbook-kickoff/route.ts","POST",""
"app/api/cron/playbook-pattern/route.ts","GET",""
"app/api/cron/playbook-pattern/route.ts","POST",""
"app/api/cron/project-health/route.ts","GET",""
"app/api/cron/project-health/route.ts","POST",""
"app/api/cron/promise-deadlines/route.ts","GET",""
"app/api/cron/promise-deadlines/route.ts","POST",""
"app/api/cron/push-morgon/route.ts","GET",""
"app/api/cron/push-morgon/route.ts","POST",""
"app/api/cron/quote-follow-up/route.ts","GET",""
"app/api/cron/raddningsko/route.ts","GET",""
"app/api/cron/raddningsko/route.ts","POST",""
"app/api/cron/review-requests/route.ts","GET",""
"app/api/cron/seasonality/route.ts","GET",""
"app/api/cron/send-campaigns/route.ts","GET",""
"app/api/cron/send-reminders/route.ts","GET",""
"app/api/cron/send-reminders/route.ts","POST",""
"app/api/cron/service-bookings/route.ts","GET",""
"app/api/cron/sync-calendars/route.ts","GET",""
"app/api/cron/tidrapport-forslag/route.ts","GET",""
"app/api/cron/tidrapport-forslag/route.ts","POST",""
"app/api/cron/veckorapport/route.ts","GET",""
